type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
measure,188,ChestCircumTapeMeasureBR,True,24.73,,,
measure,189,BustGirthWithDropTapeMeasureFL,True,26.05,,,
measure,190,BustGirthWithDropTapeMeasureFR,True,26.16,,,
measure,191,BustGirthWithDropTapeMeasureBL,True,23.92,,,
measure,192,BustGirthWithDropTapeMeasureBR,True,23.32,,,
measure,193,UnderbustCircumTapeMeasureFL,True,24.44,,,
measure,194,UnderbustCircumTapeMeasureFR,True,24.83,,,
measure,195,UnderbustCircumTapeMeasureBL,True,23.7,,,
measure,196,UnderbustCircumTapeMeasureBR,True,23.75,,,
measure,197,OptimizedSmallWaistTapeFL,True,20.36,,,
measure,198,OptimizedSmallWaistTapeFR,True,20.79,,,
measure,199,OptimizedSmallWaistTapeBL,True,20.79,,,
measure,200,OptimizedSmallWaistTapeBR,True,20.71,,,
measure,201,OptimizedFormulaWaistTapeFL,True,20.55,,,
measure,202,OptimizedFormulaWaistTapeFR,True,21.48,,,
measure,203,OptimizedFormulaWaistTapeBL,True,21.1,,,
measure,204,OptimizedFormulaWaistTapeBR,True,21.33,,,
measure,205,WaistCircumTapeMeasureFL,True,21.17,,,
measure,206,WaistCircumTapeMeasureFR,True,21.21,,,
measure,207,WaistCircumTapeMeasureBL,True,22.18,,,
measure,208,WaistCircumTapeMeasureBR,True,21.6,,,
measure,209,HipCircumTapeMeasureFL,True,23.34,,,
measure,210,HipCircumTapeMeasureFR,True,23.74,,,
measure,211,HipCircumTapeMeasureBL,True,27.47,,,
measure,212,HipCircumTapeMeasureBR,True,27.0,,,
measure,213,SeatCircumTapeMeasureFL,True,22.84,,,
measure,214,SeatCircumTapeMeasureFR,True,22.82,,,
measure,215,SeatCircumTapeMeasureBL,True,26.93,,,
measure,216,SeatCircumTapeMeasureBR,True,26.53,,,
measure,217,AbdomenCircumTapeMeasureFL,True,21.94,,,
measure,218,AbdomenCircumTapeMeasureFR,True,21.74,,,
measure,219,AbdomenCircumTapeMeasureBL,True,24.97,,,
measure,220,AbdomenCircumTapeMeasureBR,True,24.68,,,
measure,221,Stomach_FP_TapeMeasureFL,True,21.64,,,
measure,222,Stomach_FP_TapeMeasureFR,True,21.63,,,
measure,223,Stomach_FP_TapeMeasureBL,True,21.06,,,
measure,224,Stomach_FP_TapeMeasureBR,True,20.94,,,
measure,225,Stomach_Max_TapeMeasureFL,True,21.22,,,
measure,226,Stomach_Max_TapeMeasureFR,True,21.05,,,
